game_id,play_id,passer,targeted_receiver,week,quarter,possession_team,down,yards_to_go,team_coverage_man_zone,yards_gained,expected_points_added,route_type,actual_completion,actual_x,actual_y,release_frame,snap_frame,actual_time_since_snap,temporal_error_frames,temporal_error_seconds,CP_peak,CP_actual_timing,optimal_frame,optimal_time_since_snap,TSV,CP_optimal,CP_actual_placement,optimal_x,optimal_y,spatial_error,PSV,SV,DM,RSS,temporal_error_abs,spatial_error_abs,temporal_percentile,spatial_percentile,temporal_score,spatial_score,RTS,temporal_score_scaled,spatial_score_scaled,RTS_scaled,performance_tier,performance_tier_scaled
2023090700,436,Jared Goff,Amon-Ra St. Brown,1,1,DET,2,9,MAN_COVERAGE,13,1.613927255,SLANT,1,34.88999939,34.81999969,20,1,1.9,0,0,0.790629625,0.790629625,20,1.9,0,0.80614686,0.790629625,32.88999939,35,2.008083691,-0.015517235,-0.007758617,1.113104505,-0.008636152,0,2.008083691,32.12583413,13.01239276,67.87416587,86.98760724,77.43088656,100,87.07061069,93.53530534,Excellent,Elite
2023090700,530,Jared Goff,Amon-Ra St. Brown,1,1,DET,1,10,ZONE_COVERAGE,5,0.031383639,OUT,1,88.69000244,15.13000011,20,1,1.9,0,0,0.859905958,0.859905958,20,1.9,0,0.860374093,0.859905958,88.69000244,15,0.130000114,-0.000468135,-0.000234067,1.041514751,-0.000243785,0,0.130000114,37.53387534,0.225835592,62.46612466,99.77416441,81.12014453,100,99.81924989,99.90962494,Excellent,Elite
2023090700,713,Patrick Mahomes,Noah Gray,1,1,KC,2,8,ZONE_COVERAGE,0,-0.873873966,OUT,0,40.08999634,44.32999973,24,1,2.3,0,0,0.800841093,0.800841093,24,2.3,0,0.802771151,0.800841093,40.08999634,45,0.670000267,-0.001930058,-0.000965029,1.108885797,-0.001070107,0,0.670000267,37.53387534,2.16802168,62.46612466,97.83197832,80.14905149,100,97.87618617,98.93809309,Excellent,Elite
2023090700,1069,Jared Goff,Brock Wright,1,2,DET,1,10,ZONE_COVERAGE,9,0.566854459,IN,1,37.63999939,24.26999931,31,1,3,0,0,0.896989942,0.896989942,31,3,0,0.901778042,0.896989942,35.63999939,25,2.129061061,-0.004788101,-0.00239405,1.000616388,-0.002395526,0,2.129061061,31.78119349,22.31255646,68.21880651,77.68744354,72.95312503,100,77.79285391,88.89642696,Above Average,Excellent
2023090700,1201,Jared Goff,Sam LaPorta,1,2,DET,2,11,ZONE_COVERAGE,14,2.009683075,SLANT,1,68.61000061,36.83000069,19,1,1.8,0,0,0.714969456,0.714969456,19,1.8,0,0.83775562,0.714969456,68.61000061,41,4.169999313,-0.122786164,-0.061393082,1.141080268,-0.070054435,0,4.169999313,32.12583413,70.73403241,67.87416587,29.26596759,48.57006673,100,29.29389313,64.64694656,Average,Above Average
2023090700,1494,Jared Goff,Marvin Jones,1,2,DET,2,5,ZONE_COVERAGE,0,-0.647368223,IN,0,69.95000076,33.76999931,30,1,2.9,6,0.6,0.453986675,0.423237681,24,2.3,-0.030748993,0.521096289,0.423237681,65.95000076,33,4.073438221,-0.097858608,-0.0643038,1.702007485,-0.10944555,0.6,4.073438221,90.55153707,58.1300813,9.448462929,41.8699187,25.65919081,13.85023194,41.92672999,27.88848096,Below Average,Below Average
2023090700,1618,Patrick Mahomes,Rashee Rice,1,2,KC,2,10,ZONE_COVERAGE,3,-0.258355481,IN,1,54.15999985,33.34000015,22,1,2.1,0,0,0.838036835,0.838036835,22,2.1,0,0.868637085,0.838036835,54.15999985,37,3.659999847,-0.03060025,-0.015300125,1.048947058,-0.016049021,0,3.659999847,31.78119349,49.23215899,68.21880651,50.76784101,59.49332376,100,50.83672546,75.41836273,Average,Excellent
2023090700,1812,Jared Goff,Sam LaPorta,1,2,DET,1,10,ZONE_COVERAGE,5,-0.309704902,IN,1,37.76000214,14.09000092,22,1,2.1,0,0,0.805308759,0.805308759,22,2.1,0,0.826443017,0.805308759,35.76000214,13,2.277740546,-0.021134257,-0.010567129,1.091850996,-0.01153773,0,2.277740546,31.78119349,26.33242999,68.21880651,73.66757001,70.94318826,100,73.76752601,86.883763,Above Average,Excellent
2023090700,1940,Jared Goff,Marvin Jones,1,2,DET,2,10,ZONE_COVERAGE,0,-0.081964128,OUT,0,67.02000046,4.8,39,1,3.8,0,0,0.617799282,0.617799282,39,3.8,0,0.804703951,0.617799282,65.02000046,13,8.440379138,-0.186904669,-0.093452334,1.232663183,-0.115195252,0,8.440379138,37.53387534,85.90785908,62.46612466,14.09214092,38.27913279,100,14.09850881,57.04925441,Below Average,Average
2023090700,2118,Patrick Mahomes,Blake Bell,1,3,KC,2,10,ZONE_COVERAGE,0,-1.057063914,IN,0,55.5,34.52999878,26,1,2.5,0,0,0.754402697,0.754402697,26,2.5,0,0.753559113,0.754402697,55.5,33,1.529998779,0.000843585,0.000421792,1.17098637,0.000493913,0,1.529998779,31.78119349,10.02710027,68.21880651,89.97289973,79.09585312,100,90.09497965,95.04748982,Excellent,Elite
